Sl.No,State_Name,Crop_Year,Area(m^2),X1,X2,X3,X4,Yield (kg)
79,Bihar,2001,35,68344,82444,755.853,653.951,72
80,Bihar,2001,2,4,3,689.501,638.257,3
81,Bihar,2001,39998,12868,9117,1023.604,981.668,80525
82,Bihar,2001,1001,1819,5465,805.762,788.762,1670
83,Bihar,2001,3362,37013,43125,882.841,819.027,4879
84,Bihar,2001,800,35774,20166,788.361,698.09,1464
85,Bihar,2001,163,840,700,712.239,666.79,276
86,Bihar,2001,20748,45343,17118,982.91,955.188,43473
87,Bihar,2001,7388,38797,17285,813.346,797.273,12350
88,Bihar,2001,53,5577,6655,828.302,732.256,108
89,Bihar,2001,1260,26911,28272,893.114,805.404,2419
90,Bihar,2001,183,49161,45811,717.259,618.877,375
91,Bihar,2001,336,19943,11866,742.743,680.647,648
92,Chhattisgarh,2002,258955,385963,213319,1009.784,1324.364,128736
93,Chhattisgarh,2005,260734,327311,439318,1419.1,1644.2,349876
94,Chhattisgarh,2006,239805,349876,327311,1709.8,1419.1,326040
95,Chhattisgarh,2007,239537,326040,349876,1259.2,1709.8,345270
96,Chhattisgarh,2008,240340,345270,326040,1398.3,1259.2,280325
97,Chhattisgarh,2009,240074,280325,345270,1038.3,1398.3,278302
98,Chhattisgarh,2010,239376,278302,280325,1623.2,1038.3,401486
99,Chhattisgarh,2002,316368,448855,195548,620.135,563.829,212099
100,Chhattisgarh,2005,149772,201587,217544,1100.3,916,272042
101,Chhattisgarh,2007,175006,328047,272042,1007.2,1320.4,346087
102,Chhattisgarh,2008,152432,346087,328047,901,1007.2,268219
103,Chhattisgarh,2010,168855,260683,268219,1211.1,1113,395133
104,Chhattisgarh,2002,432904,605170,224171,1035.669,1199.901,233410
105,Chhattisgarh,2007,465325,673868,746241,1068.5,886.4,730870
106,Chhattisgarh,2008,464617,730870,673868,904.8,1068.5,420864
107,Chhattisgarh,2009,451263,420864,730870,794.9,904.8,355753
108,Chhattisgarh,2010,462087,355753,420864,1149.7,794.9,844764
109,Chhattisgarh,2002,180322,221341,120855,1075.461,1114.472,116095
110,Chhattisgarh,2005,180718,167461,225019,1395,1328.8,159200
111,Chhattisgarh,2006,180309,159200,167461,836.3,1395,188689
112,Chhattisgarh,2007,181389,188689,159200,1233.5,836.3,220343
113,Chhattisgarh,2008,180921,220343,188689,1412,1233.5,203992
114,Chhattisgarh,2009,180614,203992,220343,1064,1412,193157
115,Chhattisgarh,2010,179402,193157,203992,1133.9,1064,247335
116,Chhattisgarh,2002,160452,262672,133229,1036.061,1299.852,88832
117,Chhattisgarh,2005,109622,101504,134710,1482.3,1356.2,129060
118,Chhattisgarh,2006,109853,129060,101504,750.7,1482.3,95823
119,Chhattisgarh,2007,109818,95823,129060,857.4,750.7,120613
120,Chhattisgarh,2009,109232,110250,120613,822.6,1233.6,101991
121,Chhattisgarh,2010,109207,101991,110250,1093.1,822.6,130510
122,Chhattisgarh,2002,242444,290201,114090,1032.46,1187.851,108462
123,Chhattisgarh,2005,250057,319432,387427,1379,1222.8,247754
124,Chhattisgarh,2006,256752,247754,319432,1383.9,1379,331104
125,Chhattisgarh,2007,241743,331104,247754,1174.6,1383.9,331756
126,Chhattisgarh,2008,260661,331756,331104,944.9,1174.6,292312
127,Chhattisgarh,2009,262841,292312,331756,1190.1,944.9,292973
128,Chhattisgarh,2010,266738,292973,292312,1130,1190.1,486688
129,Chhattisgarh,2002,239372,305358,116886,1055.9,1163.283,168485
130,Chhattisgarh,2005,240317,250401,322350,1246.8,1049.8,278707
131,Chhattisgarh,2006,240616,278707,250401,1089.1,1246.8,307132
132,Chhattisgarh,2007,241665,307132,278707,1291.8,1089.1,312306
133,Chhattisgarh,2008,242366,312306,307132,1513.9,1291.8,296840
134,Chhattisgarh,2009,240135,296840,312306,978.2,1513.9,277370
135,Chhattisgarh,2002,516328,616749,208356,1051.585,1217.079,386465
136,Chhattisgarh,2006,534394,804924,626563,1206.7,1348,785967
137,Chhattisgarh,2007,539878,785967,804924,1434.2,1206.7,805433
138,Chhattisgarh,2008,529148,805433,785967,1114.5,1434.2,691851
139,Chhattisgarh,2010,545965,753589,691851,1109.1,948.3,771395
140,Chhattisgarh,2002,254729,296457,210646,1082.165,1274.509,193529
141,Chhattisgarh,2007,268022,357973,357964,769.8,1127.6,290436
142,Chhattisgarh,2008,271256,290436,357973,812.7,769.8,211856
143,Chhattisgarh,2009,269249,211856,290436,734.9,812.7,210540
144,Chhattisgarh,2005,312299,299182,404374,1120.1,971.6,341368
145,Chhattisgarh,2006,313914,341368,299182,1186.3,1120.1,345995
146,Chhattisgarh,2007,311757,345995,341368,1153.4,1186.3,380351
147,Gujarat,2000,84100,78900,72600,494.019,486.758,37500
148,Gujarat,2002,47500,144300,37500,336.837,554.507,39300
149,Gujarat,2001,100,100,100,743.828,567.964,100
150,Gujarat,2007,86100,125200,178500,898.1,1049.7,200300
151,Gujarat,2009,75200,174400,200300,357.1,760.2,192700
152,Gujarat,2010,87700,192700,174400,863.5,357.1,185200
153,Gujarat,2001,24200,17600,23700,932.744,873.82,25200
154,Gujarat,2002,23700,25200,17600,659.664,932.744,24200
155,Gujarat,2002,100,200,200,551.186,835.264,100
156,Gujarat,2000,7600,24000,15600,595.1,548,17100
157,Gujarat,2001,7000,17100,24000,613.1,595.1,17500
158,Gujarat,2002,4600,17500,17100,353.7,613.1,9900
159,Gujarat,2005,10000,29100,35200,1410.7,758.7,27200
160,Gujarat,2006,11300,27200,29100,1055.8,1410.7,25600
161,Gujarat,2007,12800,25600,27200,1101.4,1055.8,32000
162,Gujarat,2008,12800,32000,25600,740.4,1101.4,26900
163,Gujarat,2009,10600,26900,32000,510.1,740.4,22200
164,Gujarat,2010,16000,22200,26900,921.2,510.1,36900
165,Gujarat,2000,112500,363900,286400,626.616,603.653,73400
166,Gujarat,2001,171800,73400,363900,629.335,626.616,308400
167,Gujarat,2002,71200,308400,73400,415,629.335,93500
168,Gujarat,2006,92400,218500,223900,1412.5,1138.7,169300
169,Gujarat,2007,99800,169300,218500,1143.9,1412.5,237400
170,Gujarat,2008,101100,237400,169300,758.1,1143.9,211600
171,Gujarat,2009,87100,211600,237400,450.9,758.1,201300
172,Gujarat,2000,10200,17200,22200,538.733,498.522,7100
173,Gujarat,2001,12600,7100,17200,600.555,538.733,23600
174,Gujarat,2002,3700,23600,7100,314.315,600.555,5300
175,Gujarat,2005,10800,11400,10800,1154,1074,8600
176,Gujarat,2007,13600,9700,8600,1356.2,1492.5,11600
177,Gujarat,2008,15200,11600,9700,1102.8,1356.2,13700
178,Gujarat,2009,15000,13700,11600,789.2,1102.8,8200
179,Gujarat,2005,34900,92200,102900,2969.2,2078,87400
180,Gujarat,2006,35900,87400,92200,2098.6,2969.2,81800
181,Gujarat,2008,46300,112500,81800,2195.8,1737,111200
182,Gujarat,2010,62600,149000,111200,1982,1486.4,161300
183,Gujarat,2000,91200,40100,104200,702.001,740.001,9800
184,Gujarat,2001,84900,9800,40100,720.499,702.001,20600
185,Gujarat,2002,86200,20600,9800,546.936,720.499,26300
186,Gujarat,2000,15000,69000,51800,658.746,628.378,15500
187,Gujarat,2002,8700,26700,15500,403.727,703.136,14000
188,Gujarat,2000,70600,143100,166400,934.914,1000.858,117000
189,Gujarat,2001,83500,117000,143100,973.507,934.914,167000
190,Gujarat,2002,73500,167000,117000,758.207,973.507,137200
191,Gujarat,2005,68300,141000,154800,2610.7,1962.9,131200
192,Gujarat,2006,72600,131200,141000,2014.8,2610.7,144200
193,Gujarat,2007,80500,144200,131200,1572.4,2014.8,154900
194,Gujarat,2008,58400,154900,144200,1622,1572.4,124300
195,Gujarat,2009,54600,124300,154900,1308.3,1622,130300
196,Gujarat,2010,60700,130300,124300,1570.9,1308.3,124000
197,Gujarat,2000,700,1000,300,537.135,511.191,400
198,Gujarat,2001,800,400,1000,650.503,537.135,1200
199,Gujarat,2002,600,1200,400,327.115,650.503,600
200,Gujarat,2005,500,300,600,803.4,515.5,1100
201,Gujarat,2006,500,1100,300,632.4,803.4,900
202,Gujarat,2008,900,1500,900,738.5,821.2,1000
203,Gujarat,2009,600,1000,1500,279.4,738.5,600
204,Gujarat,2002,47200,48700,6100,611.426,796.908,38000
205,Gujarat,2005,47500,89400,93300,2793.1,2338.6,94800
206,Gujarat,2006,50600,94800,89400,2236.8,2793.1,96500
207,Gujarat,2008,60300,127700,96500,2246.3,2196.5,127500
208,Gujarat,2010,58600,112900,127500,2235.4,1861.9,118200
209,Haryana,1999,72185,186000,182000,396.134,649.086,206000
210,Haryana,2000,71840,206000,186000,593.737,396.134,217000
211,Haryana,2005,76540,233000,227000,1058.4,1202.9,254000
212,Haryana,2006,75737,254000,233000,660.7,1058.4,261000
213,Haryana,2007,75164,261000,254000,738.3,660.7,277000
214,Haryana,2008,81002,277000,261000,1227.9,738.3,267000
215,Haryana,2009,82283,267000,277000,779.6,1227.9,306000
216,Haryana,2001,7422,20000,17000,417.222,434.055,21000
217,Haryana,2002,6491,21000,20000,209.647,417.222,19000
218,Haryana,2005,12526,14000,23000,489.8,426.7,25000
219,Haryana,2006,13666,25000,14000,364.1,489.8,26000
220,Haryana,2008,21217,40000,26000,762.5,381.3,45000
221,Haryana,1999,28820,70000,59000,443.67,735.429,58000
222,Haryana,2000,28959,58000,70000,597.2,443.67,80000
223,Haryana,2001,31274,80000,58000,617.772,597.2,88000
224,Haryana,2002,18092,88000,80000,352.589,617.772,48000
225,Haryana,2005,26376,68000,78000,592,634.5,70000
226,Haryana,2006,27360,70000,68000,269.2,592,84000
227,Haryana,2010,9550,24000,22000,557.6,355.1,18000
228,Haryana,1999,69238,208000,184000,236.386,390.917,164000
229,Haryana,2000,61308,164000,208000,361.383,236.386,199000
230,Haryana,2001,58359,199000,164000,351.154,361.383,175000
231,Haryana,2002,66915,175000,199000,210.732,351.154,202000
232,Haryana,2005,68371,280000,218000,490.5,285.6,254000
233,Haryana,2006,70069,254000,280000,322.9,490.5,312000
234,Haryana,1999,9465,25000,20000,424.676,706.942,22000
235,Haryana,2000,7881,22000,25000,575.641,424.676,20000
236,Haryana,2001,7503,20000,22000,598.438,575.641,21000
237,Haryana,2006,2322,6000,18000,340.5,628.2,6000
238,Haryana,2010,5151,14000,8000,841.2,461.5,14000
239,Haryana,2000,33285,107000,97000,396.183,250.151,63000
240,Haryana,2001,20353,63000,107000,381.17,396.183,37000
241,Haryana,2002,21328,37000,63000,213.136,381.17,41000
242,Haryana,1999,15097,38000,13000,300.626,612.565,14000
243,Haryana,2001,15794,25000,14000,499.539,528.171,22000
244,Haryana,2002,6484,22000,25000,278.702,499.539,19000
245,Haryana,2005,17028,16000,18000,619.3,473.4,29000
246,Haryana,2010,31014,47000,33000,485.7,380.9,62000
247,Haryana,2001,104307,222000,205000,441.285,465.493,222000
